id.exposure,id.outcome,exposure,outcome,b,se,pval,method
Q9HCK4,J10_PNEUMOBACT,ROBO2,Bacterial pneumoniae,-0.271182869222287,0.0714285714285714,0.0197350344318978,Contamination mixture
Q9NPB3,J10_PNEUMOBACT,CABP2,Bacterial pneumoniae,0.163409120373371,0.0637755102040816,0.0178904155363433,Contamination mixture
Q9NPH6,J10_PNEUMOBACT,OBP2B,Bacterial pneumoniae,-0.0605645951774161,0.0229591836734694,0.0239239548663979,Contamination mixture
Q9NR12,J10_PNEUMOBACT,PDLIM7,Bacterial pneumoniae,0.107397477201988,0.204081632653061,0.312080774996448,Contamination mixture
Q9NSA1,J10_PNEUMOBACT,FGF21,Bacterial pneumoniae,0.183631881752257,0.0535714285714286,0.00953500782929009,Contamination mixture
Q9NWQ8,J10_PNEUMOBACT,PAG1,Bacterial pneumoniae,0.16580782553372,0.114795918367347,0.0473120401670326,Contamination mixture
Q9NZJ5,J10_PNEUMOBACT,EIF2AK3,Bacterial pneumoniae,0.110330551406457,0.227040816326531,0.110116133479617,Contamination mixture
Q9UGT4,J10_PNEUMOBACT,SUSD2,Bacterial pneumoniae,-0.0614712029925604,0.0229591836734694,0.0294523159935219,Contamination mixture
Q9UHD8,J10_PNEUMOBACT,SEPTIN9,Bacterial pneumoniae,-0.110449330612829,0.262755102040816,0.368058121880358,Contamination mixture
Q9UHX3,J10_PNEUMOBACT,ADGRE2,Bacterial pneumoniae,0.071910917930145,0.0306122448979592,0.0166479320537729,Contamination mixture
Q9UK41,J10_PNEUMOBACT,VPS28,Bacterial pneumoniae,0.142491849015253,0.227040816326531,0.170597314218781,Contamination mixture
Q9UQP3,J10_PNEUMOBACT,TNN,Bacterial pneumoniae,0.0370822910256925,0.0153061224489796,0.0280525401840335,Contamination mixture
Q9UQQ2,J10_PNEUMOBACT,SH2B3,Bacterial pneumoniae,0.292333981926727,0.173469387755102,0.282766403190778,Contamination mixture
Q9Y223,J10_PNEUMOBACT,GNE,Bacterial pneumoniae,0.154676074756171,0.086734693877551,0.108853511200882,Contamination mixture
Q9Y2X7,J10_PNEUMOBACT,GIT1,Bacterial pneumoniae,0.187400595762129,0.25,0.219351057030728,Contamination mixture
Q9Y2Y0,J10_PNEUMOBACT,ARL2BP,Bacterial pneumoniae,0.194942729585201,0.0714285714285714,0.0246098982007403,Contamination mixture
Q9Y3C0,J10_PNEUMOBACT,WASHC3,Bacterial pneumoniae,0.156786101295642,0.0688775510204082,0.0196330882773052,Contamination mixture
Q9Y3L3,J10_PNEUMOBACT,SH3BP1,Bacterial pneumoniae,-0.0720469533421583,0.0433673469387755,0.0569880924909084,Contamination mixture
Q9Y5X3,J10_PNEUMOBACT,SNX5,Bacterial pneumoniae,0.157277471641089,0.142857142857143,0.0707477498257414,Contamination mixture
Q9Y662,J10_PNEUMOBACT,HS3ST3B1,Bacterial pneumoniae,-0.0811423208797686,0.0204081632653061,0.0140164345870969,Contamination mixture
